participant_name,source_type,age,gender,student_status,region,platform_sessions_per_day,messages_sent_per_day,in_person_conversations_per_week,shared_meals_or_social_events_per_week,group_activities_per_month,trusted_contacts_count,sleep_hours,self_reported_stress_0_100,lq1,lq2,lq3,lq4,lq5,lq6,lq7,sci1,sci2,sci3,sci4,sci5,sci6,delay_immediate_choice_1,delay_immediate_choice_2,delay_immediate_choice_3,delay_immediate_choice_4,delay_immediate_choice_5,delay_immediate_choice_6,spend1,spend2,spend3,spend4,spend5,risk_choice_1,risk_choice_2,risk_choice_3,risk_choice_4,risk_choice_5,conflict_defense_1,conflict_defense_2,conflict_defense_3,conflict_defense_4,conflict_defense_5,loneliness_score,social_connection_score,immediate_reward_bias,impulsive_spending_score,high_risk_choice_score,conflict_defense_score,risk_decision_index,loneliness_group,top_quartile_risk,decision_type,created_at,data_note
Lucas Rivera,synthetic_pilot,24,Female,High school,North America,1,11,12,0,0,1,7.3,45.8,4,2,3,3,3,2,3,2,3,3,3,3,3,0,0,0,0,0,1,3,3,3,3,2,1,0,0,1,0,3,4,3,3,3,46.4,45.8,16.7,45.0,40.0,55.0,35.3,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Mia Patel,synthetic_pilot,23,Female,Early career,North America,9,46,11,5,6,3,8.5,35.1,1,2,2,2,2,1,2,5,5,5,5,5,5,1,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,1,1,1,2,1,17.9,100.0,16.7,10.0,0.0,5.0,9.1,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Lopez,synthetic_pilot,24,Female,High school,North America,14,19,13,2,3,4,6.0,57.8,2,3,4,4,3,3,5,4,3,3,3,3,4,1,1,0,1,1,1,4,5,5,5,3,1,1,0,0,1,3,4,3,3,5,60.7,58.3,83.3,85.0,60.0,65.0,75.2,Moderate loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Emma Zhang,synthetic_pilot,22,Female,Undergraduate,East Asia,4,25,13,5,1,2,6.2,64.9,2,3,3,4,3,2,3,4,4,1,1,2,4,1,1,1,0,0,0,2,2,3,2,2,0,0,0,0,0,3,2,3,2,3,46.4,41.7,50.0,30.0,0.0,40.0,31.0,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nora Foster,synthetic_pilot,17,Female,Undergraduate,North America,9,11,14,6,3,1,6.9,63.1,3,2,4,3,4,2,2,2,3,4,4,4,5,1,0,0,0,0,1,4,3,5,4,5,0,0,0,1,1,1,4,3,2,1,46.4,66.7,33.3,80.0,40.0,30.0,46.2,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Clara Evans,synthetic_pilot,23,Male,High school,North America,7,17,10,3,4,2,6.7,38.7,3,4,2,3,2,2,3,4,4,1,4,4,4,0,1,0,0,0,1,3,3,4,4,4,0,0,0,1,1,3,3,1,2,3,42.9,62.5,33.3,65.0,40.0,35.0,43.2,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Garcia,synthetic_pilot,19,Prefer not to say,Gap year,North America,10,13,18,1,4,4,5.9,43.8,4,3,5,5,4,4,4,4,3,4,5,3,5,0,0,0,1,1,0,5,3,4,4,3,0,0,1,0,0,2,4,2,4,2,78.6,75.0,33.3,70.0,20.0,45.0,40.9,High loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Caleb Ali,synthetic_pilot,24,Female,Undergraduate,North America,6,25,9,5,4,3,7.2,35.2,2,2,2,3,2,3,3,5,4,4,5,4,4,0,1,0,0,1,1,3,4,4,3,3,1,1,0,0,0,3,3,4,3,2,35.7,83.3,50.0,60.0,40.0,50.0,50.0,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Grace Patel,synthetic_pilot,19,Female,High school,North America,8,14,11,6,2,2,7.1,33.5,2,2,1,2,1,1,1,2,3,4,4,3,5,1,0,0,0,1,0,2,4,3,3,4,0,0,0,0,0,1,1,2,2,1,10.7,62.5,33.3,55.0,0.0,10.0,26.9,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ryan Rossi,synthetic_pilot,21,Male,Early career,North America,5,7,10,2,2,3,7.1,29.6,2,2,2,1,3,3,3,3,3,3,3,5,2,1,1,0,1,0,1,2,2,2,3,1,0,0,0,0,0,3,1,2,1,3,32.1,54.2,66.7,25.0,0.0,25.0,33.3,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Garcia,synthetic_pilot,20,Female,High school,North America,6,26,8,5,2,3,6.8,28.4,4,4,4,3,3,4,3,2,2,5,2,4,3,1,1,0,0,0,0,2,2,2,4,4,1,0,1,1,0,3,2,2,3,3,64.3,50.0,33.3,45.0,60.0,40.0,43.9,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Clara Ibrahim,synthetic_pilot,20,Female,High school,Europe,4,31,13,8,2,5,7.2,40.7,3,2,3,4,4,2,3,4,3,2,5,5,3,0,0,0,0,0,1,2,2,1,3,2,0,0,1,0,0,2,2,2,2,3,50.0,66.7,16.7,25.0,20.0,30.0,21.6,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Emma Garcia,synthetic_pilot,18,Female,Undergraduate,North America,10,6,13,4,5,3,6.9,49.7,3,4,4,3,4,4,2,4,3,2,4,4,4,0,1,1,1,0,1,4,4,3,4,3,0,0,1,0,1,2,3,2,1,2,60.7,62.5,66.7,65.0,40.0,25.0,53.3,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Hannah Rossi,synthetic_pilot,16,Male,High school,North America,14,18,16,2,3,1,5.3,39.9,4,5,3,4,5,5,4,3,4,3,5,5,5,0,0,0,1,0,1,3,3,2,4,4,0,1,0,0,0,4,3,4,4,4,82.1,79.2,33.3,55.0,20.0,70.0,40.9,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Tan,synthetic_pilot,19,Male,High school,North America,4,16,13,2,2,0,6.7,28.9,3,2,5,3,4,3,4,2,2,3,2,4,3,0,0,0,1,1,0,2,2,3,2,3,0,1,0,0,0,4,3,2,4,3,60.7,41.7,33.3,35.0,20.0,55.0,33.7,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nina Mehta,synthetic_pilot,18,Female,High school,North America,3,21,4,2,3,2,5.4,74.4,4,3,3,3,4,2,2,4,3,4,3,4,3,1,1,1,0,0,0,3,4,5,4,3,0,0,0,1,1,4,5,5,3,4,50.0,62.5,50.0,70.0,40.0,80.0,57.0,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Hannah Morgan,synthetic_pilot,22,Female,Undergraduate,North America,3,23,13,7,4,4,5.4,43.9,4,4,4,2,3,1,4,3,4,4,5,5,4,0,0,0,0,0,0,2,1,2,2,2,1,1,1,1,0,2,3,2,3,3,53.6,79.2,0.0,20.0,80.0,40.0,31.0,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Evans,synthetic_pilot,20,Nonbinary/Other,High school,Europe,9,24,10,1,5,1,4.2,76.1,5,5,5,5,4,5,5,3,3,3,2,3,3,1,1,0,1,1,1,5,5,5,3,4,0,1,0,1,1,4,3,4,3,3,96.4,45.8,83.3,85.0,60.0,60.0,74.4,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Liu,synthetic_pilot,18,Female,Undergraduate,North America,6,10,12,6,2,5,7.3,3.9,1,2,3,1,1,3,2,5,5,4,3,4,4,0,0,1,0,0,0,1,1,2,1,2,0,1,0,0,0,4,2,2,2,2,21.4,79.2,16.7,10.0,20.0,35.0,18.6,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Amelia Wilson,synthetic_pilot,19,Male,High school,East Asia,4,32,8,4,5,3,5.9,26.4,2,3,3,3,4,3,3,4,4,5,5,4,4,1,0,0,0,0,0,3,3,3,4,3,0,1,0,0,0,3,3,2,3,3,50.0,83.3,16.7,55.0,20.0,45.0,31.3,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Miles Santos,synthetic_pilot,16,Female,High school,East Asia,10,10,5,2,2,1,6.7,52.2,5,3,4,4,3,3,2,4,2,4,4,4,2,0,0,0,1,0,0,3,4,5,5,5,1,1,1,0,1,4,5,5,5,4,60.7,58.3,16.7,85.0,80.0,90.0,60.6,Moderate loneliness,0,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Shah,synthetic_pilot,21,Male,High school,East Asia,1,42,2,1,1,0,6.7,51.6,2,4,3,3,3,3,3,2,2,3,2,2,2,1,0,1,0,0,0,2,3,4,3,5,1,1,0,1,0,4,4,5,5,5,50.0,29.2,33.3,60.0,60.0,90.0,55.2,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nora Nguyen,synthetic_pilot,20,Male,Undergraduate,East Asia,5,12,5,2,6,0,7.0,56.4,3,2,3,3,4,1,2,2,4,2,4,3,3,0,0,0,1,1,1,4,2,4,4,2,1,1,0,0,1,3,3,3,3,3,39.3,50.0,50.0,55.0,60.0,50.0,53.8,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Chloe Santos,synthetic_pilot,17,Female,Undergraduate,North America,7,14,2,2,0,4,4.2,58.3,4,3,3,3,5,4,3,2,1,2,2,1,2,0,0,1,1,1,0,4,3,4,1,5,1,1,0,0,0,4,2,4,3,5,64.3,16.7,50.0,60.0,40.0,65.0,52.2,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Eli Brooks,synthetic_pilot,24,Prefer not to say,Undergraduate,North America,2,27,13,5,8,2,6.5,9.8,3,4,2,3,2,2,2,4,5,5,3,5,5,0,0,0,0,0,0,4,4,4,4,2,0,0,1,0,0,4,3,3,3,3,39.3,87.5,0.0,65.0,20.0,55.0,29.5,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Lucas Nguyen,synthetic_pilot,17,Female,High school,Europe,8,19,7,5,4,2,6.2,62.0,4,4,3,4,4,5,4,4,4,4,3,3,4,0,1,0,0,1,1,5,2,3,3,2,0,1,0,0,1,3,4,4,4,4,75.0,66.7,50.0,50.0,40.0,70.0,50.5,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Daniel Turner,synthetic_pilot,23,Female,Undergraduate,East Asia,7,9,7,1,1,0,5.6,53.2,3,3,3,3,2,1,3,1,2,1,1,2,3,0,1,0,0,1,0,5,4,5,5,5,1,1,0,1,0,3,2,4,4,2,39.3,16.7,33.3,95.0,60.0,50.0,57.9,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Clara Rossi,synthetic_pilot,18,Female,Undergraduate,Europe,13,1,0,0,0,0,4.8,66.3,5,3,5,3,3,4,3,1,2,1,2,2,3,1,1,1,1,1,1,3,4,3,5,2,0,1,0,1,1,3,4,4,5,4,67.9,20.8,100.0,60.0,60.0,75.0,76.2,Moderate loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ethan Torres,synthetic_pilot,18,Female,Undergraduate,Other,2,25,10,0,4,5,8.4,10.5,3,2,2,3,3,2,2,2,4,2,4,5,2,1,0,0,0,0,0,2,2,2,1,3,0,1,0,0,0,2,2,1,2,2,35.7,54.2,16.7,25.0,20.0,20.0,20.1,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Adrian Ibrahim,synthetic_pilot,21,Male,High school,East Asia,7,13,7,3,1,0,7.0,61.5,4,4,3,3,2,1,5,2,2,1,4,3,1,0,0,1,1,0,0,3,3,3,3,3,0,0,1,1,1,3,4,3,4,3,53.6,29.2,33.3,50.0,60.0,60.0,48.2,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Owen Foster,synthetic_pilot,19,Female,High school,East Asia,12,10,0,0,2,0,5.8,82.6,5,4,5,5,4,4,4,1,2,3,4,3,1,0,0,0,0,1,1,5,5,5,4,5,1,0,1,1,1,5,5,5,5,5,85.7,33.3,33.3,95.0,80.0,100.0,70.4,High loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Luna Chen,synthetic_pilot,18,Male,Gap year,North America,11,12,2,2,2,1,6.0,23.1,5,3,4,4,2,5,4,3,3,3,3,3,2,1,1,1,1,1,0,2,2,3,3,4,0,0,0,0,0,4,4,4,5,5,71.4,45.8,83.3,45.0,0.0,85.0,53.2,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Grace Taylor,synthetic_pilot,19,Male,Gap year,East Asia,11,24,10,5,1,3,7.2,40.8,2,1,1,2,2,3,2,4,4,4,4,3,4,0,0,0,0,1,0,1,1,1,3,2,1,0,0,0,0,4,2,2,4,2,21.4,70.8,16.7,15.0,20.0,45.0,21.3,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Grace Garcia,synthetic_pilot,23,Female,High school,Europe,4,24,14,2,2,1,7.1,9.3,1,1,1,2,2,3,3,3,3,3,2,4,3,0,0,0,1,1,0,2,2,1,1,1,0,1,0,0,0,2,1,2,2,2,21.4,50.0,33.3,10.0,20.0,20.0,22.2,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Jasper Patel,synthetic_pilot,22,Female,High school,Europe,4,39,16,5,4,4,7.4,32.1,2,2,1,2,1,3,1,5,4,5,5,4,5,0,1,0,0,0,0,4,2,4,5,3,0,0,0,0,0,3,4,2,3,3,17.9,91.7,16.7,65.0,0.0,50.0,29.6,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Collins,synthetic_pilot,22,Male,Undergraduate,East Asia,14,10,0,1,0,0,5.1,57.9,5,4,5,5,5,5,4,2,1,2,2,2,2,1,1,1,1,1,1,5,4,5,5,4,1,0,1,0,1,5,5,4,5,4,92.9,20.8,100.0,90.0,60.0,90.0,86.0,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Isaac Garcia,synthetic_pilot,20,Female,High school,North America,12,15,17,4,4,0,7.1,45.7,4,5,4,4,4,3,4,4,3,3,4,3,4,0,0,1,0,0,0,5,4,4,4,5,0,0,1,0,1,5,5,5,5,5,75.0,62.5,16.7,85.0,40.0,100.0,52.1,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Maya Park,synthetic_pilot,21,Male,High school,North America,9,26,2,2,4,0,4.6,79.0,4,4,4,4,3,3,5,3,2,2,3,3,2,1,0,1,1,1,0,4,5,3,4,4,1,0,1,0,0,3,3,4,5,3,71.4,37.5,66.7,75.0,40.0,65.0,61.8,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Jonah Turner,synthetic_pilot,21,Female,Undergraduate,East Asia,6,24,12,1,3,4,5.6,56.6,4,2,3,3,2,3,3,4,5,4,4,5,3,0,0,1,0,0,1,2,3,2,2,3,0,0,0,0,0,3,3,3,4,4,46.4,79.2,33.3,35.0,0.0,60.0,29.4,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Park,synthetic_pilot,18,Female,High school,East Asia,14,8,0,5,2,1,5.5,85.4,4,3,2,4,4,4,4,2,2,3,2,3,2,1,1,0,1,1,0,2,5,5,2,4,0,0,1,0,0,4,4,3,5,4,64.3,33.3,66.7,65.0,20.0,75.0,55.8,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Julian Foster,synthetic_pilot,24,Male,High school,East Asia,8,0,13,4,0,0,4.9,70.1,4,5,4,4,4,5,5,3,1,1,2,2,2,1,1,0,0,1,1,5,5,5,5,5,1,0,1,0,0,5,5,5,5,5,85.7,20.8,66.7,100.0,40.0,100.0,73.3,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Julian Murphy,synthetic_pilot,18,Male,Undergraduate,North America,3,24,6,7,4,4,8.6,25.0,1,1,1,1,1,2,2,5,4,3,5,5,5,1,0,0,0,0,0,1,2,1,1,1,0,0,0,1,0,2,2,1,2,3,7.1,87.5,16.7,5.0,20.0,25.0,15.8,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leah Santos,synthetic_pilot,21,Male,High school,East Asia,7,18,14,4,5,4,6.5,16.0,2,4,2,2,2,3,2,4,4,2,5,4,2,0,1,0,0,1,0,4,3,3,2,3,0,0,0,0,0,2,2,2,3,3,35.7,62.5,33.3,50.0,0.0,35.0,29.4,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Caleb Santos,synthetic_pilot,24,Male,High school,North America,6,11,0,5,2,2,6.3,69.6,3,4,2,1,5,4,5,3,3,4,3,3,2,1,1,1,0,0,0,4,5,3,5,3,0,0,1,0,1,5,5,5,3,5,60.7,50.0,50.0,75.0,40.0,90.0,59.8,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Chloe Lin,synthetic_pilot,16,Female,High school,East Asia,11,15,3,5,4,2,5.8,50.4,4,5,3,5,3,2,4,3,3,3,3,2,4,1,0,1,1,0,0,2,2,2,2,1,0,1,0,0,1,4,3,4,4,4,67.9,50.0,50.0,20.0,40.0,70.0,43.0,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Brooks,synthetic_pilot,20,Male,Undergraduate,North America,5,30,18,6,4,2,6.9,26.0,2,1,3,1,1,2,2,5,3,4,3,4,5,0,0,1,0,0,0,2,3,3,3,3,0,0,0,0,0,2,4,3,3,2,17.9,75.0,16.7,45.0,0.0,45.0,23.8,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Zoe Santos,synthetic_pilot,20,Female,High school,Europe,6,11,16,2,1,0,6.5,44.3,3,2,2,3,3,4,3,3,4,4,4,5,5,0,0,1,0,0,1,3,4,3,4,3,1,0,0,0,0,3,3,2,3,2,46.4,79.2,33.3,60.0,20.0,40.0,37.7,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Mia Ali,synthetic_pilot,16,Female,High school,East Asia,14,35,15,1,3,2,5.4,63.5,4,4,3,5,3,4,4,5,4,2,4,2,4,1,0,0,1,1,0,3,5,3,4,5,1,1,1,1,0,4,4,5,4,3,71.4,62.5,50.0,75.0,80.0,75.0,67.5,Moderate loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Wilson,synthetic_pilot,16,Male,Early career,North America,2,26,16,4,3,4,8.1,36.9,1,2,1,1,1,1,2,5,5,5,5,5,5,0,0,1,0,0,0,2,2,1,2,1,0,0,0,1,0,2,1,1,2,2,7.1,100.0,16.7,15.0,20.0,15.0,16.8,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Turner,synthetic_pilot,24,Male,Undergraduate,North America,12,10,3,3,3,1,7.0,54.1,4,4,4,4,3,3,3,3,2,1,1,3,1,1,1,1,1,1,0,3,4,3,5,5,0,1,0,1,1,5,4,4,5,5,64.3,20.8,83.3,75.0,60.0,90.0,76.4,Moderate loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leah Patel,synthetic_pilot,16,Female,High school,Other,3,8,12,4,3,4,6.7,25.1,3,3,1,2,3,3,3,3,3,3,5,5,4,1,0,0,1,0,0,2,4,2,2,2,0,0,0,0,0,2,3,2,2,1,39.3,70.8,33.3,35.0,0.0,25.0,24.2,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Liam Santos,synthetic_pilot,23,Female,High school,North America,6,17,5,3,2,3,7.4,62.6,4,3,2,4,4,3,3,3,4,3,3,3,3,0,1,1,0,0,1,4,5,3,5,4,0,0,0,0,1,4,3,3,3,3,57.1,54.2,50.0,80.0,20.0,55.0,50.8,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Liam Turner,synthetic_pilot,19,Female,High school,Other,5,21,18,3,3,1,7.2,27.0,3,2,2,2,2,2,1,3,2,3,5,5,4,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,3,2,2,2,3,25.0,66.7,66.7,0.0,60.0,35.0,43.6,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Lucas Patel,synthetic_pilot,23,Female,Undergraduate,Other,17,4,7,0,0,0,5.7,82.7,2,4,3,4,4,5,5,2,1,3,3,2,3,1,1,1,1,1,0,3,2,5,3,5,0,1,1,1,0,4,4,5,4,4,71.4,33.3,83.3,65.0,60.0,80.0,72.4,Moderate loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Wilson,synthetic_pilot,18,Male,Gap year,North America,10,13,8,5,3,3,6.9,37.9,4,3,5,3,5,4,4,5,4,4,3,4,3,1,0,0,1,1,0,5,3,3,4,5,1,0,0,1,1,2,2,2,3,3,75.0,70.8,50.0,75.0,60.0,35.0,56.5,High loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Murphy,synthetic_pilot,18,Female,High school,North America,13,24,7,6,1,2,6.0,66.2,4,3,3,5,4,4,4,4,4,2,4,2,1,1,1,0,0,1,0,4,3,2,3,4,1,0,0,0,1,3,2,3,3,4,71.4,45.8,50.0,55.0,40.0,50.0,48.8,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Chloe Young,synthetic_pilot,18,Female,Early career,Europe,6,20,11,5,3,2,6.7,54.4,3,3,3,3,3,4,2,4,2,5,2,2,4,0,1,1,0,0,0,5,4,5,5,5,0,1,0,0,0,3,4,4,5,4,50.0,54.2,33.3,95.0,20.0,75.0,51.7,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ava Walker,synthetic_pilot,16,Female,Undergraduate,East Asia,8,3,8,4,5,1,6.5,64.5,4,3,3,3,3,2,3,4,5,2,5,4,3,0,0,0,0,0,0,2,4,3,3,5,0,0,0,0,1,3,3,3,5,5,50.0,70.8,0.0,60.0,20.0,70.0,30.5,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Sofia Reed,synthetic_pilot,24,Nonbinary/Other,Undergraduate,Europe,4,23,11,3,1,2,5.6,44.2,2,4,3,2,4,3,2,2,5,3,3,4,3,0,0,1,0,0,0,3,4,4,4,2,0,1,0,0,0,4,3,4,2,4,46.4,58.3,16.7,60.0,20.0,60.0,34.8,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Vivian Mehta,synthetic_pilot,21,Female,Undergraduate,East Asia,16,10,4,3,3,0,6.8,44.7,2,3,2,4,3,4,4,1,3,1,1,1,2,0,1,1,1,1,0,5,5,4,5,5,0,0,0,0,0,5,3,3,3,4,53.6,12.5,66.7,95.0,0.0,65.0,56.8,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Zhang,synthetic_pilot,17,Male,Undergraduate,North America,5,11,12,5,1,3,7.0,50.4,3,4,5,3,5,5,5,4,3,5,4,4,4,0,1,0,0,0,1,3,3,3,3,3,0,1,0,0,0,5,4,5,4,5,82.1,75.0,33.3,50.0,20.0,90.0,42.7,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Tan,synthetic_pilot,16,Male,High school,North America,4,16,16,4,3,2,8.1,3.6,1,1,1,1,2,1,1,4,5,5,3,5,4,0,0,0,0,0,1,2,2,3,2,2,0,0,0,0,1,1,1,1,2,2,3.6,83.3,16.7,30.0,20.0,10.0,19.8,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Zoe Liu,synthetic_pilot,23,Female,High school,Other,8,17,3,3,3,0,4.8,97.8,4,5,5,3,4,5,3,5,3,3,4,3,3,1,1,1,1,1,0,5,5,4,5,5,1,0,1,1,0,3,5,5,5,5,78.6,62.5,83.3,95.0,60.0,90.0,81.4,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Emma Young,synthetic_pilot,18,Male,Undergraduate,Europe,13,32,9,2,1,4,6.6,57.4,5,5,4,5,5,5,4,4,5,5,4,2,3,1,0,0,0,0,1,5,4,4,5,5,1,1,0,0,1,5,4,3,3,5,92.9,70.8,33.3,90.0,60.0,75.0,60.4,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
